,o,h,l,c,time
0,104.306,104.329,104.286,104.329,2020-12-01T00:00:00.000000000Z
1,104.330,104.338,104.322,104.335,2020-12-01T00:01:00.000000000Z
2,104.334,104.344,104.332,104.344,2020-12-01T00:02:00.000000000Z
3,104.346,104.346,104.334,104.340,2020-12-01T00:03:00.000000000Z
4,104.338,104.354,104.338,104.348,2020-12-01T00:04:00.000000000Z
5,104.349,104.360,104.347,104.360,2020-12-01T00:05:00.000000000Z
6,104.362,104.364,104.354,104.354,2020-12-01T00:06:00.000000000Z
7,104.356,104.364,104.355,104.357,2020-12-01T00:07:00.000000000Z
8,104.358,104.366,104.358,104.366,2020-12-01T00:08:00.000000000Z
9,104.366,104.374,104.364,104.364,2020-12-01T00:09:00.000000000Z
10,104.366,104.370,104.358,104.360,2020-12-01T00:10:00.000000000Z
11,104.358,104.360,104.336,104.344,2020-12-01T00:11:00.000000000Z
12,104.343,104.349,104.342,104.348,2020-12-01T00:12:00.000000000Z
13,104.348,104.362,104.348,104.362,2020-12-01T00:13:00.000000000Z
14,104.360,104.362,104.341,104.341,2020-12-01T00:14:00.000000000Z
15,104.342,104.347,104.340,104.347,2020-12-01T00:15:00.000000000Z
16,104.348,104.357,104.348,104.356,2020-12-01T00:16:00.000000000Z
17,104.354,104.366,104.353,104.360,2020-12-01T00:17:00.000000000Z
18,104.358,104.366,104.356,104.356,2020-12-01T00:18:00.000000000Z
19,104.358,104.362,104.354,104.356,2020-12-01T00:19:00.000000000Z
20,104.357,104.360,104.354,104.357,2020-12-01T00:20:00.000000000Z
21,104.358,104.362,104.358,104.360,2020-12-01T00:21:00.000000000Z
22,104.360,104.365,104.360,104.360,2020-12-01T00:22:00.000000000Z
23,104.359,104.361,104.352,104.352,2020-12-01T00:23:00.000000000Z
24,104.354,104.358,104.352,104.354,2020-12-01T00:24:00.000000000Z
25,104.352,104.354,104.338,104.340,2020-12-01T00:25:00.000000000Z
26,104.338,104.340,104.324,104.336,2020-12-01T00:26:00.000000000Z
27,104.334,104.334,104.324,104.325,2020-12-01T00:27:00.000000000Z
28,104.324,104.324,104.314,104.319,2020-12-01T00:28:00.000000000Z
29,104.318,104.328,104.318,104.327,2020-12-01T00:29:00.000000000Z
30,104.328,104.330,104.326,104.326,2020-12-01T00:30:00.000000000Z
31,104.324,104.325,104.322,104.325,2020-12-01T00:31:00.000000000Z
32,104.324,104.326,104.318,104.326,2020-12-01T00:32:00.000000000Z
33,104.324,104.324,104.320,104.321,2020-12-01T00:33:00.000000000Z
34,104.322,104.326,104.320,104.320,2020-12-01T00:34:00.000000000Z
35,104.322,104.325,104.320,104.325,2020-12-01T00:35:00.000000000Z
36,104.326,104.336,104.326,104.336,2020-12-01T00:36:00.000000000Z
37,104.338,104.343,104.336,104.338,2020-12-01T00:37:00.000000000Z
38,104.340,104.345,104.332,104.332,2020-12-01T00:38:00.000000000Z
39,104.330,104.330,104.314,104.314,2020-12-01T00:39:00.000000000Z
40,104.315,104.315,104.310,104.310,2020-12-01T00:40:00.000000000Z
41,104.309,104.310,104.288,104.294,2020-12-01T00:41:00.000000000Z
42,104.294,104.300,104.287,104.297,2020-12-01T00:42:00.000000000Z
43,104.296,104.296,104.286,104.286,2020-12-01T00:43:00.000000000Z
44,104.286,104.292,104.270,104.292,2020-12-01T00:44:00.000000000Z
45,104.290,104.298,104.282,104.282,2020-12-01T00:45:00.000000000Z
46,104.282,104.287,104.282,104.287,2020-12-01T00:46:00.000000000Z
47,104.288,104.290,104.288,104.288,2020-12-01T00:47:00.000000000Z
48,104.286,104.289,104.282,104.288,2020-12-01T00:48:00.000000000Z
49,104.289,104.292,104.279,104.283,2020-12-01T00:49:00.000000000Z
50,104.282,104.282,104.274,104.276,2020-12-01T00:50:00.000000000Z
51,104.278,104.286,104.265,104.268,2020-12-01T00:51:00.000000000Z
52,104.267,104.268,104.254,104.266,2020-12-01T00:52:00.000000000Z
53,104.265,104.278,104.264,104.266,2020-12-01T00:53:00.000000000Z
54,104.266,104.269,104.258,104.260,2020-12-01T00:54:00.000000000Z
55,104.260,104.268,104.248,104.256,2020-12-01T00:55:00.000000000Z
56,104.258,104.266,104.257,104.261,2020-12-01T00:56:00.000000000Z
57,104.262,104.272,104.261,104.268,2020-12-01T00:57:00.000000000Z
58,104.270,104.274,104.270,104.274,2020-12-01T00:58:00.000000000Z
59,104.273,104.285,104.268,104.285,2020-12-01T00:59:00.000000000Z
60,104.284,104.290,104.271,104.285,2020-12-01T01:00:00.000000000Z
61,104.284,104.294,104.282,104.294,2020-12-01T01:01:00.000000000Z
62,104.292,104.310,104.288,104.299,2020-12-01T01:02:00.000000000Z
63,104.298,104.310,104.297,104.303,2020-12-01T01:03:00.000000000Z
64,104.302,104.314,104.302,104.313,2020-12-01T01:04:00.000000000Z
65,104.312,104.317,104.304,104.304,2020-12-01T01:05:00.000000000Z
66,104.302,104.317,104.300,104.314,2020-12-01T01:06:00.000000000Z
67,104.314,104.314,104.308,104.308,2020-12-01T01:07:00.000000000Z
68,104.310,104.338,104.310,104.330,2020-12-01T01:08:00.000000000Z
69,104.332,104.335,104.328,104.328,2020-12-01T01:09:00.000000000Z
70,104.326,104.337,104.326,104.334,2020-12-01T01:10:00.000000000Z
71,104.332,104.344,104.332,104.344,2020-12-01T01:11:00.000000000Z
72,104.345,104.348,104.338,104.343,2020-12-01T01:12:00.000000000Z
73,104.344,104.358,104.344,104.353,2020-12-01T01:13:00.000000000Z
74,104.354,104.354,104.340,104.343,2020-12-01T01:14:00.000000000Z
75,104.342,104.342,104.330,104.332,2020-12-01T01:15:00.000000000Z
76,104.333,104.339,104.329,104.334,2020-12-01T01:16:00.000000000Z
77,104.336,104.336,104.328,104.336,2020-12-01T01:17:00.000000000Z
78,104.334,104.350,104.332,104.347,2020-12-01T01:18:00.000000000Z
79,104.348,104.354,104.330,104.330,2020-12-01T01:19:00.000000000Z
80,104.332,104.339,104.327,104.336,2020-12-01T01:20:00.000000000Z
81,104.334,104.334,104.327,104.327,2020-12-01T01:21:00.000000000Z
82,104.328,104.336,104.328,104.334,2020-12-01T01:22:00.000000000Z
83,104.335,104.340,104.332,104.336,2020-12-01T01:23:00.000000000Z
84,104.335,104.335,104.332,104.332,2020-12-01T01:24:00.000000000Z
85,104.330,104.337,104.329,104.336,2020-12-01T01:25:00.000000000Z
86,104.338,104.350,104.338,104.344,2020-12-01T01:26:00.000000000Z
87,104.346,104.350,104.346,104.348,2020-12-01T01:27:00.000000000Z
88,104.346,104.348,104.342,104.346,2020-12-01T01:28:00.000000000Z
89,104.348,104.348,104.342,104.344,2020-12-01T01:29:00.000000000Z
90,104.346,104.364,104.345,104.346,2020-12-01T01:30:00.000000000Z
91,104.345,104.358,104.345,104.354,2020-12-01T01:31:00.000000000Z
92,104.356,104.367,104.354,104.356,2020-12-01T01:32:00.000000000Z
93,104.354,104.358,104.348,104.351,2020-12-01T01:33:00.000000000Z
94,104.350,104.358,104.346,104.351,2020-12-01T01:34:00.000000000Z
95,104.350,104.354,104.342,104.342,2020-12-01T01:35:00.000000000Z
96,104.342,104.345,104.340,104.342,2020-12-01T01:36:00.000000000Z
97,104.344,104.348,104.342,104.343,2020-12-01T01:37:00.000000000Z
98,104.342,104.346,104.341,104.342,2020-12-01T01:38:00.000000000Z
99,104.341,104.345,104.338,104.345,2020-12-01T01:39:00.000000000Z
100,104.344,104.344,104.336,104.341,2020-12-01T01:40:00.000000000Z
101,104.342,104.343,104.340,104.340,2020-12-01T01:41:00.000000000Z
102,104.342,104.343,104.340,104.343,2020-12-01T01:42:00.000000000Z
103,104.345,104.346,104.345,104.346,2020-12-01T01:43:00.000000000Z
104,104.345,104.347,104.340,104.340,2020-12-01T01:44:00.000000000Z
105,104.342,104.354,104.340,104.354,2020-12-01T01:45:00.000000000Z
106,104.352,104.356,104.332,104.332,2020-12-01T01:46:00.000000000Z
107,104.334,104.336,104.330,104.332,2020-12-01T01:47:00.000000000Z
108,104.330,104.334,104.330,104.332,2020-12-01T01:48:00.000000000Z
109,104.334,104.344,104.332,104.334,2020-12-01T01:49:00.000000000Z
110,104.332,104.339,104.332,104.334,2020-12-01T01:50:00.000000000Z
111,104.336,104.340,104.334,104.334,2020-12-01T01:51:00.000000000Z
112,104.333,104.334,104.327,104.329,2020-12-01T01:52:00.000000000Z
113,104.330,104.342,104.330,104.342,2020-12-01T01:53:00.000000000Z
114,104.340,104.342,104.338,104.340,2020-12-01T01:54:00.000000000Z
115,104.342,104.346,104.339,104.339,2020-12-01T01:55:00.000000000Z
116,104.340,104.347,104.336,104.346,2020-12-01T01:56:00.000000000Z
117,104.344,104.352,104.340,104.346,2020-12-01T01:57:00.000000000Z
118,104.348,104.348,104.342,104.348,2020-12-01T01:58:00.000000000Z
119,104.349,104.356,104.349,104.354,2020-12-01T01:59:00.000000000Z
120,104.356,104.358,104.349,104.355,2020-12-01T02:00:00.000000000Z
121,104.356,104.357,104.354,104.354,2020-12-01T02:01:00.000000000Z
122,104.354,104.356,104.348,104.348,2020-12-01T02:02:00.000000000Z
123,104.349,104.349,104.343,104.343,2020-12-01T02:03:00.000000000Z
124,104.344,104.352,104.342,104.351,2020-12-01T02:04:00.000000000Z
125,104.350,104.350,104.342,104.344,2020-12-01T02:05:00.000000000Z
126,104.343,104.346,104.342,104.345,2020-12-01T02:06:00.000000000Z
127,104.346,104.352,104.340,104.343,2020-12-01T02:07:00.000000000Z
128,104.342,104.348,104.335,104.345,2020-12-01T02:08:00.000000000Z
129,104.346,104.352,104.346,104.350,2020-12-01T02:09:00.000000000Z
130,104.349,104.356,104.349,104.356,2020-12-01T02:10:00.000000000Z
131,104.357,104.362,104.356,104.362,2020-12-01T02:11:00.000000000Z
132,104.363,104.370,104.363,104.368,2020-12-01T02:12:00.000000000Z
133,104.367,104.372,104.366,104.372,2020-12-01T02:13:00.000000000Z
134,104.370,104.378,104.351,104.372,2020-12-01T02:14:00.000000000Z
135,104.372,104.372,104.365,104.367,2020-12-01T02:15:00.000000000Z
136,104.366,104.366,104.362,104.365,2020-12-01T02:16:00.000000000Z
137,104.364,104.366,104.362,104.362,2020-12-01T02:17:00.000000000Z
138,104.363,104.363,104.358,104.362,2020-12-01T02:18:00.000000000Z
139,104.360,104.368,104.360,104.367,2020-12-01T02:19:00.000000000Z
140,104.366,104.375,104.366,104.372,2020-12-01T02:20:00.000000000Z
141,104.371,104.378,104.370,104.378,2020-12-01T02:21:00.000000000Z
142,104.377,104.378,104.372,104.376,2020-12-01T02:22:00.000000000Z
143,104.374,104.374,104.360,104.360,2020-12-01T02:23:00.000000000Z
144,104.361,104.374,104.354,104.366,2020-12-01T02:24:00.000000000Z
145,104.368,104.372,104.360,104.368,2020-12-01T02:25:00.000000000Z
146,104.370,104.376,104.352,104.360,2020-12-01T02:26:00.000000000Z
147,104.361,104.368,104.360,104.361,2020-12-01T02:27:00.000000000Z
148,104.360,104.361,104.360,104.361,2020-12-01T02:28:00.000000000Z
149,104.360,104.368,104.359,104.360,2020-12-01T02:29:00.000000000Z
